Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,19620,15.64,,18.73,,9.58,10.82,11.49,12.22,13.79,17.9,20.74,22.49,24.5,31.14
"Managers, directors and senior officials",1,2477,21.89,,26.98,,11.31,13.68,14.85,16.07,18.84,25.55,30.5,33.72,37.62,49.27
 Corporate managers and directors,11,1933,24.66,,29.75,,12.13,15.15,16.62,18.12,21.17,28.87,34.07,37.4,40.82,53.01
  Chief Executives and Senior Officials,111,100,40.59,,50.4,,17.5,23.22,26.35,28.89,34.52,47.35,53.6,60.37,65.46,x
   Chief executives and senior officials,1111,95,42.73,,52.38,,19.66,25.92,28.09,30.95,37.04,49.15,55.1,61.26,65.71,x
   Elected officers and representatives,1112,x,13.7,,14.25,,x,x,x,11.24,11.98,14.27,x,x,x,x
  Production Managers and Directors,112,494,22.09,,25.97,,12.27,15.09,16.33,17.54,19.64,25.22,29.14,31.21,35.01,44.06
   Production managers and directors in manufacturing,1121,388,22.59,,26.82,,12.18,15.05,16.21,17.56,19.92,25.77,30.43,33.51,37.16,46.86
   Production managers and directors in construction,1122,99,20.84,,22.71,,12.63,15.14,16.68,17.43,19.12,23.22,26.16,27.86,29.41,x
   Production managers and directors in mining and energy,1123,x,22.6,,26.92,,x,x,x,17.28,18.38,23.88,x,x,x,x
  Functional Managers and Directors,113,907,30.16,,34.84,,15.71,19.44,21.29,22.93,26.54,34.75,39.94,42.84,46.59,58.13
   Financial managers and directors,1131,381,30.67,,36.64,,15.15,19.16,21.25,22.71,27.12,35.71,41.26,44.79,49.21,63.66
"   Marketing, sales and advertising directors",1132,200,37.56,,39.7,,17.87,23.07,25.39,27.81,32.47,42.11,47.43,50.85,54.2,62.86
   Public relations and communications directors,1133,9,33.47,,33.65,,x,24.07,24.72,25.31,28.83,35.82,x,x,x,x
   Purchasing managers and directors,1134,63,23.86,,25.95,,14.81,17.25,18.15,19.45,22.11,26.65,29.53,31.47,33.67,x
   Charitable organisation managers and directors,1135,x,21.06,,22.23,,x,x,x,x,18.97,22.03,x,x,x,x
   Human resource managers and directors,1136,134,24.12,,26.29,,15.38,17.44,19.26,20.15,22.19,26.84,29.94,31.58,34.01,39.56
   Information technology directors,1137,53,34.75,,38.51,,17.88,22.74,25.03,27.45,30.26,38.65,43.48,46.27,49.2,x
   Functional managers and directors n.e.c.,1139,62,30.77,,33.35,,16.04,20.41,22.5,24.06,26.97,34.62,38.75,41.05,43.23,x
"  Directors in Logistics, Warehousing and Transport",114,x,x,,31.83,,x,x,x,x,x,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,x,x,,31.83,,x,x,x,x,x,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,357,14.54,,18.09,,9.89,10.98,11.62,12.03,13.27,16.08,18.47,20.26,22.13,30.37
   Managers and directors in retail and wholesale,1150,357,14.54,,18.09,,9.89,10.98,11.62,12.03,13.27,16.08,18.47,20.26,22.13,30.37
  Senior Officers in Protective Services,116,13,28.19,,28.87,,x,21.81,23.12,25.35,27.04,29.09,30.46,31.34,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,10,29.04,,31.71,,x,26.98,27.35,27.52,28.21,29.6,31.06,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,20.44,,22.34,,x,x,x,x,x,x,x,x,x,x
  Health and Social Services Managers and Directors,117,55,23.63,,25.29,,13.65,16.48,18.08,19.33,21.36,26.29,28.5,29.83,31.87,x
   Health services and public health managers and directors,1171,43,24.95,,26.36,,14.21,17.07,19.31,20.1,23.06,26.63,29.28,31.51,32.58,x
   Social services managers and directors,1172,12,19.46,,21.24,,x,14.76,15.62,16.88,18.36,20.84,22.43,x,x,x
 Other managers and proprietors,12,544,15.39,,17.49,,10.06,11.32,11.94,12.47,13.92,17.19,19.4,20.66,22.45,27
  Managers and Proprietors in Agriculture Related Services,121,23,14.12,,15.42,,10.06,11.16,11.55,12.25,13.05,14.66,16.6,18.54,x,x
   Managers and proprietors in agriculture and horticulture,1211,16,14.4,,15.86,,x,11.53,12.26,12.62,13.58,15.53,18.21,19.33,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,x,12.69,,14.23,,x,x,x,11.32,11.57,x,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,106,11.85,,13.46,,8.67,9.68,10.08,10.48,11.04,12.64,14.16,14.96,16.1,x
   Hotel and accommodation managers and proprietors,1221,14,11.74,,16.95,,x,10.08,10.17,10.37,11.04,13.85,x,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,45,11.32,,11.87,,8.77,9.53,10,10.4,10.73,11.94,12.37,12.95,13.9,x
   Publicans and managers of licensed premises,1223,22,10.95,,12.04,,7.55,8.32,8.54,9.45,10.09,11.8,12.96,13.46,x,x
   Leisure and sports managers,1224,24,14.38,,15.94,,9.85,11.12,11.91,12.08,13.22,15.34,17.38,18.69,x,x
   Travel agency managers and proprietors,1225,x,x,,15.45,,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,80,17.66,,18.6,,11.65,13.4,14.24,14.8,16.37,19.76,21.54,22.51,23.58,x
   Health care practice managers,1231,21,19.3,,20.24,,12.61,14.25,15.25,16.28,17,21.04,23.26,23.93,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,58,17.26,,18.1,,11.44,13.14,14.05,14.67,15.88,19.18,21.2,21.85,23,x
   Early education and childcare services proprietors,1233,x,13.58,,14.53,,x,x,x,x,x,x,x,x,x,x
"  Managers in Logistics, Warehousing and Transport",124,177,15.81,,17.52,,10.54,11.9,12.39,12.84,14.15,17.37,19.18,20.15,21.57,27.32
   Managers in transport and distribution,1241,64,18,,19.67,,11.74,13,13.98,15.11,16.62,19.49,21.71,23,25.14,x
   Managers in storage and warehousing,1242,94,13.82,,15.43,,10.08,10.97,11.54,12,12.78,15.33,16.98,17.76,18.92,x
   Managers in logistics,1243,20,18.87,,20.5,,12.51,13.95,14.49,14.91,16.55,20.78,23.03,24.18,x,x
  Managers and Proprietors in Other Services,125,158,17.21,,20.09,,10.46,11.96,12.86,13.73,15.33,19.54,22.2,23.67,25.06,33.32
"   Property, housing and estate managers",1251,87,18.67,,20.49,,11.49,12.94,13.97,15.03,16.42,19.89,22.65,23.86,25.64,x
   Garage managers and proprietors,1252,8,15.12,,18.63,,x,x,12.28,12.75,14.14,17.3,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,11.78,,12.37,,x,x,x,x,x,x,x,x,x,x
   Waste disposal and environmental services managers,1254,9,19.64,,20.84,,x,12.33,13.26,14.26,17.53,21.47,22.2,x,x,x
   Managers and directors in the creative industries,1255,10,x,,26.98,,x,13.76,13.88,14.29,16.57,x,x,x,x,x
   Betting shop and gambling establishment managers,1256,x,9.79,,10.13,,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,8,13.71,,15.97,,x,x,x,11.89,12.9,14.18,x,x,x,x
   Directors in consultancy services,1258,x,x,,28.84,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,30,16.2,,19.11,,9.54,10.31,11.02,11.77,14.22,18,22.48,23.23,x,x
Professional occupations,2,5836,21.8,,23.68,,13.54,16.1,17.01,18.04,19.89,23.77,26.19,27.47,29.24,35.4
" Science, research, engineering and technology professionals",21,1577,21.79,,23.38,,13.29,15.84,16.86,17.91,19.88,23.9,26.36,27.85,29.69,34.74
  Natural and Social Science Professionals,211,117,19.45,,20.54,,12.77,14.54,15.33,16.2,18.2,20.94,22.74,23.46,24.57,x
   Chemical scientists,2111,16,17.7,,19.17,,x,13.49,14.06,14.62,15.63,19,20.77,x,x,x
   Biological scientists,2112,15,18.81,,20.38,,x,12.6,13.84,14.62,17.3,20.23,21.78,x,x,x
   Biochemists and biomedical scientists,2113,35,19.45,,20.89,,12.8,14.25,15.2,16.03,17.82,21.79,23.2,24,24.53,x
   Physical scientists,2114,11,22.03,,22.05,,x,15.21,x,18.15,19.78,23.19,x,x,x,x
   Social and humanities scientists,2115,10,18.68,,18.07,,x,13.49,14.73,15.13,16.89,19.27,x,x,x,x
   Natural and social science professionals n.e.c.,2119,29,20.47,,21.25,,14.27,16.18,16.85,17.59,18.82,21.62,22.9,23.73,24.61,x
  Engineering Professionals,212,417,21.01,,22,,13.11,15.71,16.62,17.55,19.33,22.88,25.05,26.04,27.41,31.21
   Civil engineers,2121,67,20.27,,22.19,,13,15.03,15.95,16.72,18.23,22.1,24.99,25.94,27.39,x
   Mechanical engineers,2122,30,19.7,,20.88,,13.5,15.4,16.64,18.03,18.92,20.48,22.57,24.05,x,x
   Electrical engineers,2123,41,24.48,,24.79,,14.71,17.87,19.01,20.68,22.69,26.05,27.98,29.75,31.26,x
   Electronics engineers,2124,x,26.39,,26.37,,x,x,x,x,25.63,26.94,x,x,x,x
   Production and process engineers,2125,62,20.13,,21.09,,12.09,14.82,15.96,16.55,18.55,21.93,24.41,25.27,25.85,x
   Aerospace engineers,2126,24,21.91,,21.96,,14.26,16.58,17.75,18.57,20.97,23.29,24.34,24.98,x,x
   Engineering project managers and project engineers,2127,85,21.8,,22.35,,13.09,15.67,17.01,18.14,19.71,23.31,25.66,27.34,29.02,x
   Engineering professionals n.e.c.,2129,102,19.98,,21.07,,12.78,15.33,16.16,17.01,18.44,21.97,24.05,25.48,26.61,x
  Information Technology Professionals,213,863,23.19,,24.97,,14.15,16.86,17.96,19.15,21.08,25.66,28.11,29.92,31.49,37.42
   IT project managers,2131,37,26.69,,28.45,,15.7,18.4,19.85,20.38,23.54,28.29,30.91,32.52,33.53,x
   IT managers,2132,232,24.53,,26.57,,15.09,17.88,19.1,20.18,22.32,27.32,30.56,32.39,34.46,39.28
"   IT business analysts, architects and systems designers",2133,144,25.11,,26.55,,15.26,18.22,19.59,20.43,22.7,27.28,30.29,31.18,33.38,x
   Programmers and software development professionals ,2134,319,22.43,,23.84,,13.76,16.08,17.1,18.33,20.18,24.2,26.76,28.13,30.1,35.46
   Cyber security professionals,2135,12,26.11,,26.43,,x,17.35,18.27,19.25,21.98,28.15,29.66,x,x,x
   IT quality and testing professionals,2136,11,20.34,,19.74,,x,13.54,14.08,16.33,18.95,21.19,23.39,x,x,x
   IT network professionals,2137,22,20.41,,21.42,,x,15.78,16.35,16.88,18.91,21.55,23.59,24.9,x,x
   Information technology professionals n.e.c.,2139,85,21.13,,22.16,,12.63,15.16,16.26,17.14,19.12,23.07,26.27,27.03,27.87,x
  Web and Multimedia Design Professionals,214,46,13.89,,15.71,,9.94,11.73,12.27,12.47,13.29,14.76,16.36,16.79,19,x
   Web design professionals,2141,x,16.92,,16.92,,x,x,13.19,13.76,14.22,19.23,x,x,x,x
   Graphic and multimedia designers,2142,37,13.58,,15.42,,9.93,11.36,12.06,12.34,13.14,14.59,15.34,16.33,x,x
  Conservation and Environment Professionals,215,51,16.77,,18.42,,11.23,12.35,13.29,14.3,15.65,18.45,20.84,21.62,22.69,x
   Conservation professionals,2151,11,16.8,,16.53,,x,11.73,11.82,12.8,14.94,18.34,19.41,x,x,x
   Environment professionals,2152,40,16.77,,18.96,,11.49,13.01,13.75,14.32,15.72,18.64,21.22,21.99,23.48,x
  Research and Development (R&D) and Other Research Professionals,216,83,23,,25.36,,15.56,17.61,18.65,19.43,21.23,24.89,28.27,29.85,31.78,x
   Research and development (R&D) managers ,2161,63,24.57,,26.83,,15.3,17.88,19.45,20.68,22.76,27.84,30.11,31.87,33.94,x
"   Other researchers, unspecified discipline",2162,20,19.45,,20.52,,x,17.35,17.8,18.17,19.27,20.35,21.52,22.11,x,x
 Health professionals,22,1139,20.08,,22.53,,13.58,15.84,16.56,17.19,19.01,21.8,23.62,24.62,26.24,32.74
  Medical Practitioners,221,224,27.9,,32.81,,17.06,20.56,22.14,23.26,25.05,32.26,37.6,40.75,45.09,53.88
   Generalist medical practitioners,2211,73,22.96,,24.35,,14.71,18.19,19.01,19.8,21.73,24.09,26.11,27.9,30.53,x
   Specialist medical practitioners,2212,151,32.78,,36.87,,18.53,23.57,24.46,25.91,28.41,37.34,44.24,46.84,49.6,58.24
  Therapy Professionals,222,113,18.76,,19.66,,12.73,14.02,15.37,16.04,16.96,19.89,21.79,22.76,24.01,27
   Physiotherapists,2221,44,18.75,,19.25,,12.74,13.79,15.43,16.34,16.96,19.89,21.58,22.87,23.74,x
   Occupational therapists,2222,25,19.29,,18.53,,12.74,14.28,15.55,16.04,17.3,19.38,20.13,20.85,22.54,x
   Speech and language therapists,2223,9,17.55,,18.3,,x,13.57,14.4,14.99,16.96,19.32,20.81,x,x,x
   Psychotherapists and cognitive behaviour therapists,2224,x,19.33,,18.42,,x,x,x,x,x,x,x,x,x,x
   Clinical psychologists,2225,7,23.52,,24.41,,x,x,x,16.97,18.4,x,x,x,x,x
   Other psychologists,2226,15,20.11,,23.18,,x,12.42,13.12,14.53,16.88,24.23,27.02,28.5,x,x
   Therapy professionals n.e.c.,2229,9,16.04,,16.81,,x,x,12.93,14.26,15.91,16.81,18.98,x,x,x
  Nursing Professionals,223,629,19.31,,19.7,,13.6,15.65,16.04,16.62,17.83,20.08,21.57,22.72,23.38,26.28
   Midwifery nurses,2231,26,21.09,,20.29,,12.7,15.87,17.16,18.8,19.88,22,23.21,23.69,24.53,x
   Community nurses,2232,47,17.72,,18.35,,13.48,15.58,15.9,16.12,16.97,19.3,19.9,20.3,21.02,x
   Specialist nurses,2233,41,20.85,,21.26,,15.6,18.05,19.1,19.38,19.89,21.8,23.39,23.55,24.05,x
   Nurse practitioners,2234,51,20.92,,21.05,,13,15.67,16.04,17.3,19.37,22.76,24.23,24.82,25.85,x
   Mental health nurses,2235,14,19.94,,21.29,,x,16.08,16.3,17.13,18.81,20.99,21.58,x,x,x
   Children's nurses,2236,11,17.21,,18.65,,x,13.05,13.93,15.4,16.04,20.52,22.76,x,x,x
   Other nursing professionals ,2237,439,18.77,,19.48,,13.67,15.49,15.86,16.45,17.54,19.83,20.99,22.06,22.86,25.72
  Veterinarians,224,19,19.8,,19.88,,14.9,16.01,16.48,16.71,18.98,20.45,22.06,22.74,x,x
   Veterinarians,2240,19,19.8,,19.88,,14.9,16.01,16.48,16.71,18.98,20.45,22.06,22.74,x,x
  Other Health Professionals,225,154,20.8,,20.86,,12.97,15.88,16.84,17.44,19.47,21.98,23.43,24.32,25.13,27.16
   Pharmacists,2251,49,21.45,,20.89,,12.47,15.83,16.92,17.8,19.85,22.28,23.6,24.26,24.94,x
   Optometrists,2252,x,21.76,,22.01,,x,x,x,19.11,21.34,22.97,x,x,x,x
   Dental practitioners,2253,x,20.68,,23.99,,x,x,x,x,20.13,x,x,x,x,x
   Medical radiographers,2254,23,20.33,,20.53,,14.32,16.21,16.92,17.42,19.28,21.5,22.94,24.35,25.21,x
   Paramedics,2255,24,22.85,,22.49,,15.44,18.87,19.99,20.37,21.38,24.22,24.7,25.27,25.78,x
   Podiatrists,2256,x,17.36,,19.15,,x,x,x,x,x,x,x,x,x,x
   Other health professionals n.e.c.,2259,44,19.38,,19.63,,12.02,13.32,15.11,16.03,17.27,20.3,21.45,22.85,23.84,x
 Teaching and other educational professionals,23,1336,23.66,,24.4,,15.14,17.59,18.75,19.91,21.85,25.2,27.28,28.4,29.69,34.44
  Teaching Professionals,231,1202,23.54,,24,,15.22,17.81,18.83,20.08,21.86,24.87,26.98,27.87,29,33.12
   Higher education teaching professionals,2311,153,26.43,,28.38,,16.59,19.69,20.9,22.23,24.16,28.03,30.63,32.37,35.39,x
   Further education teaching professionals,2312,76,20.02,,21.31,,14.88,16.58,17.53,17.9,18.73,21.55,23.84,25.66,26.73,x
   Secondary education teaching professionals,2313,502,24.5,,24.38,,16.13,18.71,19.66,20.77,22.81,25.77,27.47,28.66,29.43,32.85
   Primary education teaching professionals,2314,402,22.82,,23.1,,15.91,17.93,19.05,20.13,21.81,24.47,25.45,26.38,27.52,31.51
   Nursery education teaching professionals,2315,8,16.39,,19.45,,x,x,x,13.18,15.33,x,x,x,x,x
   Special needs education teaching professionals,2316,34,22.12,,21.03,,11.5,13.22,15.14,16.95,19.14,24.32,25.59,26.48,27.18,x
   Teachers of English as a foreign language,2317,x,16.05,,17.49,,x,x,x,x,x,x,x,x,x,x
   Teaching professionals n.e.c.,2319,26,15.73,,16.78,,11.12,12.17,12.62,13.01,14.18,17.47,19.7,20.47,20.97,x
  Other Educational Professionals,232,134,25.77,,27.8,,11.96,14.47,16.09,18.09,21.49,30.33,34.28,36.91,38.84,44.28
   Head teachers and principals,2321,46,38.33,,40.83,,27.77,31.76,32.53,33.53,35.93,39.77,42.42,43.81,46.05,x
   Education managers ,2322,28,21.34,,23.98,,12.99,15.26,16.63,17.34,19.6,24.4,27.92,30.4,32.22,x
   Education advisers and school inspectors,2323,12,18.91,,19.87,,x,13.05,14.43,15.12,17,19.57,22.36,x,x,x
   Early education and childcare services managers,2324,21,12.07,,13.25,,9.86,10.48,10.86,11.25,11.8,12.6,13.21,13.56,x,x
   Other educational professionals n.e.c,2329,27,24.62,,25.73,,14.61,17.22,18.01,18.82,21.36,25.99,29.02,30.3,33.5,x
" Business, media and public service professionals",24,1785,21.47,,24.24,,13.03,15.56,16.6,17.51,19.47,23.55,26.44,28.09,30.17,37.61
  Legal Professionals,241,176,24.11,,30.3,,11.85,14.24,15.85,17.28,20.65,27.19,33.47,38.3,43.37,59.94
   Barristers and judges,2411,11,x,,21.47,,x,x,x,x,x,x,x,x,x,x
   Solicitors and lawyers,2412,116,26.55,,33.02,,14.28,17.82,19.69,21.17,24.1,30.37,37.69,40.76,46.09,x
   Legal professionals n.e.c.,2419,49,16.44,,26.02,,10.53,11.77,12.09,12.86,13.98,19.17,x,x,x,x
  Finance Professionals,242,256,20.51,,24.14,,12.73,15.22,16.35,17.09,18.7,22.61,25.94,27.38,29.01,35.75
   Chartered and certified accountants,2421,88,21.45,,23.53,,13.82,16.84,17.88,18.44,19.96,23.44,26.45,27.8,28.9,x
   Finance and investment analysts and advisers,2422,148,19.49,,24.01,,12.15,14.12,14.85,15.73,17.88,21.64,23.96,26.44,28.65,x
   Taxation experts,2423,20,24.93,,27.82,,16.47,17.35,18.2,19.38,20.52,27.11,29.3,x,x,x
"  Business, Research and Administrative Professionals",243,468,21.86,,24.1,,13.78,16.03,16.85,17.88,19.86,24.15,26.77,28.46,30.59,36.5
   Management consultants and business analysts,2431,189,22.17,,24.65,,13.58,15.9,16.73,17.87,20.44,24.79,28.46,30.14,31.65,37.29
   Marketing and commercial managers,2432,91,22.73,,24.61,,13.29,16.42,17.37,18.2,20.62,25.12,28.01,29.98,32.07,x
"   Actuaries, economists and statisticians",2433,29,23.85,,28.78,,14,16.17,17.8,18.77,21.6,26.46,30.05,x,x,x
   Business and related research professionals,2434,106,19.06,,20.01,,13.46,15.34,15.93,16.72,17.97,20.01,21.46,22.78,24.12,x
   Professional/Chartered company secretaries ,2435,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,51,25.17,,26.65,,15.92,19.15,21.06,22.62,23.82,27.12,28.71,30.62,32.38,x
  Business and Financial Project Management Professionals,244,273,25.51,,27.46,,15.24,18.86,19.83,21.01,23.11,28.02,30.41,32.58,34.89,41.45
   Business and financial project management professionals,2440,273,25.51,,27.46,,15.24,18.86,19.83,21.01,23.11,28.02,30.41,32.58,34.89,41.45
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,193,20.12,,21.53,,12.5,14.82,15.84,16.76,18.47,22.02,24.36,25.48,26.83,31.76
   Architects,2451,41,21.41,,22.46,,14.13,16.37,17.14,18.12,19.53,22.49,24.3,25.32,25.74,x
"   Chartered architectural technologists, planning officers and consultants",2452,9,17.54,,19.49,,x,x,15.34,16.01,16.71,19.84,x,x,x,x
   Quantity surveyors,2453,48,22.1,,23.5,,11.26,14.47,16.34,17.13,19.35,25.27,27,29.68,31.37,x
   Chartered surveyors,2454,72,19.55,,20.67,,12.84,14.8,15.73,16.62,18.43,21.22,23.51,24.61,26.02,x
   Construction project managers and related professionals,2455,23,17.29,,19.22,,11.5,12.65,13.64,14.57,16.3,20.72,22,23.47,x,x
  Welfare Professionals,246,147,19.25,,19.13,,12.65,15,15.77,16.69,17.77,20.13,21.63,22.24,22.76,24.85
   Social workers,2461,103,20.09,,20.32,,14.41,16.71,17.4,17.81,19.13,21.16,22.19,22.76,23.35,25.77
   Probation officers,2462,12,17.45,,17.78,,x,x,15.65,15.72,16.28,19.25,19.26,19.6,x,x
   Clergy,2463,19,13.96,,15.09,,x,10.82,11.02,11.69,13.39,15.14,15.99,x,x,x
   Youth work professionals,2464,x,18.94,,18.77,,x,x,x,x,x,19.93,x,x,x,x
   Welfare professionals n.e.c.,2469,11,14.75,,16.69,,x,12.57,x,13.05,13.58,17.64,20.78,x,x,x
  Librarians and Related Professionals,247,17,15.06,,16.67,,x,11.91,12.09,13.01,14.01,17.1,18.36,19.12,x,x
   Librarians,2471,10,15.46,,16.82,,x,x,11.82,12.19,13.3,17.33,x,x,x,x
   Archivists and curators,2472,x,14.77,,16.46,,x,x,13.19,13.68,14.48,15.76,x,x,x,x
  Quality and Regulatory Professionals,248,178,21.03,,23.1,,13.16,15.36,16.53,17.3,19.13,22.35,25.1,27.04,28.4,34.69
   Quality control and planning engineers,2481,61,19,,20.12,,12.83,14.38,15.66,16.6,17.76,20.75,21.95,22.97,23.96,x
   Quality assurance and regulatory professionals,2482,104,22.15,,25.11,,13.28,15.94,16.93,18.22,20.44,24.72,27.77,29.31,31.32,x
   Environmental health professionals,2483,13,20.95,,21.23,,x,15.32,16.55,18.32,19.7,21.88,22.4,x,x,x
  Media Professionals,249,77,18.76,,21.22,,12.28,13.96,14.92,15.7,17.03,20.64,23,24.11,26.55,x
