SIC07_2d,Sector,SE_frac,SE_jobs,WF_jobs,Emp_jobs
01,A,0.37476694,150.75,402.25,251.5
02,A,0.37476694,150.75,402.25,251.5
03,A,0.37476694,150.75,402.25,251.5
05,B,0.09633028,5.25,54.5,49.25
06,B,0.09633028,5.25,54.5,49.25
07,B,0.09633028,5.25,54.5,49.25
08,B,0.09633028,5.25,54.5,49.25
09,B,0.09633028,5.25,54.5,49.25
10,C,0.06171418,160.75,2604.75,2444
11,C,0.06171418,160.75,2604.75,2444
12,C,0.06171418,160.75,2604.75,2444
13,C,0.06171418,160.75,2604.75,2444
14,C,0.06171418,160.75,2604.75,2444
15,C,0.06171418,160.75,2604.75,2444
16,C,0.06171418,160.75,2604.75,2444
17,C,0.06171418,160.75,2604.75,2444
18,C,0.06171418,160.75,2604.75,2444
19,C,0.06171418,160.75,2604.75,2444
20,C,0.06171418,160.75,2604.75,2444
21,C,0.06171418,160.75,2604.75,2444
22,C,0.06171418,160.75,2604.75,2444
23,C,0.06171418,160.75,2604.75,2444
24,C,0.06171418,160.75,2604.75,2444
25,C,0.06171418,160.75,2604.75,2444
26,C,0.06171418,160.75,2604.75,2444
27,C,0.06171418,160.75,2604.75,2444
28,C,0.06171418,160.75,2604.75,2444
29,C,0.06171418,160.75,2604.75,2444
30,C,0.06171418,160.75,2604.75,2444
31,C,0.06171418,160.75,2604.75,2444
32,C,0.06171418,160.75,2604.75,2444
33,C,0.06171418,160.75,2604.75,2444
35,D,0.06144068,7.25,118,110.75
36,E,0.04064272,10.75,264.5,253.75
37,E,0.04064272,10.75,264.5,253.75
38,E,0.04064272,10.75,264.5,253.75
39,E,0.04064272,10.75,264.5,253.75
41,F,0.31309404,700,2235.75,1535.75
42,F,0.31309404,700,2235.75,1535.75
43,F,0.31309404,700,2235.75,1535.75
45,G,0.06335128,300,4735.5,4435.5
46,G,0.06335128,300,4735.5,4435.5
47,G,0.06335128,300,4735.5,4435.5
49,H,0.13695022,260,1898.5,1638.5
50,H,0.13695022,260,1898.5,1638.5
51,H,0.13695022,260,1898.5,1638.5
52,H,0.13695022,260,1898.5,1638.5
53,H,0.13695022,260,1898.5,1638.5
55,I,0.0475379,132.5,2787.25,2654.75
56,I,0.0475379,132.5,2787.25,2654.75
58,J,0.10501733,174.25,1659.25,1485
59,J,0.10501733,174.25,1659.25,1485
60,J,0.10501733,174.25,1659.25,1485
61,J,0.10501733,174.25,1659.25,1485
62,J,0.10501733,174.25,1659.25,1485
63,J,0.10501733,174.25,1659.25,1485
64,K,0.05374487,62.25,1158.25,1096
65,K,0.05374487,62.25,1158.25,1096
66,K,0.05374487,62.25,1158.25,1096
68,L,0.13376717,92.5,691.5,599
69,M,0.14653843,499,3405.25,2906.25
70,M,0.14653843,499,3405.25,2906.25
71,M,0.14653843,499,3405.25,2906.25
72,M,0.14653843,499,3405.25,2906.25
73,M,0.14653843,499,3405.25,2906.25
74,M,0.14653843,499,3405.25,2906.25
75,M,0.14653843,499,3405.25,2906.25
77,N,0.11444338,357.75,3126,2768.25
78,N,0.11444338,357.75,3126,2768.25
79,N,0.11444338,357.75,3126,2768.25
80,N,0.11444338,357.75,3126,2768.25
81,N,0.11444338,357.75,3126,2768.25
82,N,0.11444338,357.75,3126,2768.25
84,O,0.02814594,47.25,1678.75,1631.5
85,P,0.09531649,289.5,3037.25,2747.75
86,Q,0.06342473,306.5,4832.5,4526
87,Q,0.06342473,306.5,4832.5,4526
88,Q,0.06342473,306.5,4832.5,4526
90,R,0.23605458,246.5,1044.25,797.75
91,R,0.23605458,246.5,1044.25,797.75
92,R,0.23605458,246.5,1044.25,797.75
93,R,0.23605458,246.5,1044.25,797.75
94,S,0.30680326,292,951.75,659.75
95,S,0.30680326,292,951.75,659.75
96,S,0.30680326,292,951.75,659.75
97,T,0.60526316,34.5,57,22.5
98,T,0.60526316,34.5,57,22.5
99,U,,,,
XX,XX,0,0,0,0